gene,I0712,I0805,I0812,I0713,I0800,I0844,I0782,I0820,I0840,I0744,I0767,I0871,I0731,I0739,I0790,I0832,I0876,I0887,I0752,I0758,I0819,I0748,I0777,I0822
TPR,13.65230277,13.93001918,13.60380744,13.72629298,13.65161932,13.93441116,13.49987938,13.55202161,13.37634294,13.58108709,13.68139864,13.60180164,13.66486824,13.63959422,13.75254584,13.59855915,13.65284375,13.76298458,13.87359172,13.7142361,13.51565047,13.81296996,13.74125896,13.96962127
VPS13D,11.85846293,12.00384085,11.91876679,11.92786963,11.82591766,11.78130043,12.75348034,12.46345865,12.44050654,11.96913878,11.76729809,12.03556846,11.90176014,12.10483193,11.69422763,11.76918988,12.07240099,11.71821052,11.91169122,12.02515614,11.6614202,11.98888451,11.99289747,11.84912595
H6PD,9.967879269,10.54735621,9.938557592,9.844599015,9.613506175,10.33072524,11.72731249,11.53355579,11.83322988,9.771293239,10.36587105,9.958637956,9.862525409,9.970876251,10.40560199,9.799627756,9.829150572,10.39042935,10.3219637,9.837002258,9.838473721,9.894865644,9.797133522,10.48648432
VAMP3,9.751713681,9.70554221,9.863194112,9.886802377,9.743998188,9.643702084,10.15078923,10.12631718,10.15805167,9.738126454,9.689091144,9.668167747,9.686193822,9.414832623,9.71783767,9.661937758,9.668092048,9.656464034,9.750545113,9.757666127,9.703546794,9.829050268,9.688751672,9.605506878
PER3,9.010052074,8.729889433,9.270526996,9.207013731,9.064824662,8.730898039,8.226002598,8.038672302,8.579099564,9.026706794,8.600503526,9.10833439,9.014474391,9.407316937,8.599888032,9.010890132,9.26161096,8.618110447,8.573427316,9.250763639,8.918811723,9.343263466,9.228650944,8.790974771
SIKE1,11.85303855,11.70965038,11.83426113,11.72025756,12.00890143,11.6819446,10.97331063,11.04136777,10.82179203,12.02908852,11.91360787,11.82287713,11.7482204,11.17838217,11.69140053,11.87684147,11.82641633,11.66447095,11.71128795,11.99312112,11.90336585,11.86367776,12.05275835,11.68315134
AKR7A2,7.614710269,7.817438029,7.597703705,7.80965181,7.865860123,8.257066344,9.245553869,9.325374566,9.457255624,7.896835032,8.394291184,7.978207568,8.001527599,8.068811123,8.281115277,7.90072159,7.751821517,8.351688537,8.212121445,7.825012623,8.057465504,7.689330008,7.803232111,8.285637632
MRTO4,13.29943987,12.87472166,13.33366926,13.31964397,13.22125961,12.97293302,9.208726297,9.365802819,9.2777237,13.21469266,12.94805772,13.25539583,13.31490848,13.50490274,12.99608525,13.24556975,13.25691431,12.99734067,12.91935258,13.18514595,13.2584273,13.26241075,13.23737703,12.98634562
TRAPPC3,10.76950071,10.40419889,10.73761553,10.83269854,10.8906575,10.59011531,10.22740071,10.30082001,10.31190125,10.84018664,10.61228721,10.72095205,10.91274631,10.88430961,10.58603902,10.87888766,10.73116949,10.55731607,10.59564809,10.67033407,10.92431686,10.71573758,10.83618626,10.54116799
THRAP3,13.27002755,13.22957578,13.29999143,13.15658069,13.1766151,13.15154219,12.46689985,12.50077748,12.41475902,13.1341179,13.12914883,13.12238957,13.1823853,13.36871724,13.0867822,13.16171693,13.17900996,13.1337055,13.14345803,13.1527794,13.16465245,13.16643596,13.14281874,13.12629365
KIF1B,10.44833566,10.03487225,10.57635535,10.69696464,10.55033454,10.08849579,10.60467772,10.15645462,10.10206597,10.44114343,10.17070763,10.62346657,10.4695662,10.58618011,10.09927767,10.48276749,10.73759346,10.03801237,10.24557688,10.84965844,10.60274885,10.83440055,10.61083371,10.06217907
SZRD1,12.71414338,12.5810115,12.80144362,12.74578236,12.69121777,12.68857469,11.23375684,11.1878404,11.38076992,12.6611642,12.50384392,12.74252379,12.71679354,12.88659207,12.52836543,12.74781056,12.75076674,12.60995492,12.54396068,12.64593063,12.80000948,12.68427315,12.66756141,12.6034854
SOAT1,12.31267014,12.06796378,12.34210123,12.01035792,12.14579232,11.71200665,11.05474996,11.02215312,10.82103828,11.97595858,11.65196677,11.89110666,12.08070921,11.69711661,11.85047446,12.1421607,12.19105163,11.75107967,11.88229517,12.21146603,12.11598403,12.09215427,12.13953989,11.74591729
PITHD1,12.0906718,11.72902868,12.09592427,12.239615,12.289869,12.03434583,10.48576796,10.61482971,10.62683301,12.18570437,11.92999518,12.12668434,12.17111115,12.25527083,11.95788958,12.14250589,12.10050102,11.91243126,11.90227391,12.1379473,12.14767069,12.14720422,12.13860377,11.90387039
CROCC,9.777903867,10.20388393,9.598275085,9.54765123,9.703965433,10.02940519,11.34064268,11.64741857,11.55814794,9.861101998,9.944950568,9.884064849,9.990070287,10.23882393,9.982547159,9.955489215,9.742374739,10.2105318,10.07501848,9.541356418,9.935530299,9.613040641,9.761903231,10.15462908
ATP2B4,9.515777985,10.76892548,8.719933595,8.991859582,9.074904586,10.71516698,13.67235531,13.34575284,13.59128538,9.680083588,10.73716758,9.626688336,9.034760357,8.574063901,10.38974441,8.989558708,8.266012606,10.36913124,10.59564809,8.583232496,8.911627231,9.622784683,9.768373061,11.09783403
ZC3H11A,12.86728343,12.96366701,12.85952696,12.80878559,12.87856746,12.8424052,13.28335555,13.276494,13.28910072,12.84154405,12.88140021,12.75555044,12.79022556,12.66027635,12.8494484,12.81475011,12.82252296,12.78754331,12.92881403,12.89196033,12.77943634,12.91656464,12.92503431,12.84505574
YIPF1,8.932623752,9.242567191,9.089058237,9.305719416,9.131535958,9.248276851,8.831697673,9.129345646,8.827483396,8.915007035,9.206323195,9.144564232,9.069588578,9.246039378,9.399345327,9.034888841,9.169587448,9.25588101,9.35905762,9.20497487,9.10669457,9.190028437,8.958539614,9.211160334
NDC1,12.46953964,12.04752835,12.33639641,12.3735215,12.49990319,12.08721481,9.89790727,9.85110232,9.829699486,12.44449842,12.1587307,12.30875816,12.34084676,11.82883567,12.03828399,12.39225237,12.29742388,12.0441626,12.04261201,12.43758654,12.34257791,12.43264606,12.50637003,12.05824101
PIGV,7.85363651,8.014077756,7.995339676,8.197218645,8.237426074,8.388279942,8.529302255,8.730963487,8.564762921,7.771305792,7.956043168,7.748645438,7.954385599,8.368817535,8.293951991,7.970819876,8.035185435,8.108225589,8.097964447,8.212081558,7.977151911,7.964308835,7.751920601,7.907610028
SNRNP40,11.9244286,11.57789078,11.9067872,11.92077789,12.0197045,11.67874343,10.14156318,10.16321712,10.18876047,11.96509369,11.73502004,11.92906445,11.99044161,12.06000061,11.66117023,11.95202547,11.86702368,11.61437963,11.67524962,11.86192897,11.95363883,11.88711267,11.9159488,11.64328707
DDX20,11.05803312,11.03170387,11.08161027,11.03202092,11.05052104,11.04186577,10.06879898,10.09128805,10.09958183,10.98489998,11.01043411,10.97632245,10.9913994,10.77832243,11.04926128,10.9516059,11.00941737,10.9958139,11.07227888,11.09771104,10.96826162,11.15627856,11.0303747,11.00816838
GNAI3,12.25213962,12.13992563,12.13465105,12.10248064,12.32037503,12.09123339,10.98768393,10.97911123,11.10422227,12.27964917,12.19020706,12.01823866,12.11386255,11.68784087,12.14427558,12.22533358,12.08505081,12.02744499,12.18196135,12.18278778,12.21159139,12.19098137,12.28143352,12.10456033
WDR3,13.08266389,12.71043245,13.11223854,13.0524338,13.03906045,12.74909013,10.01816719,10.20182655,10.18992863,13.05083222,12.79285319,13.03030186,13.09391833,12.97169974,12.67459346,13.01880394,13.04601271,12.66250298,12.74172153,13.08488028,12.95590758,13.16560295,13.17117138,12.73631863
PKN2,10.52765143,10.56576231,10.45524572,10.35103908,10.50165861,10.4330626,11.16053931,10.82473769,10.81272093,10.45718342,10.53198257,10.46467477,10.28076827,9.771630332,10.46923229,10.3752595,10.50259077,10.4190738,10.47886527,10.66872859,10.29569206,10.45169493,10.568827,10.45167923
SPEN,14.10306894,14.05219121,14.19058664,14.21340387,14.07297002,14.08195525,12.9978658,12.82248186,12.76677019,14.07867563,13.82530989,14.3040785,14.17383937,14.57728626,13.796433,14.08711202,14.35831382,13.94493325,14.01908346,14.32343678,14.00666754,14.32503108,14.21164745,14.05615668
PACC1,9.745481569,9.012721127,9.445014219,9.479417843,9.622124404,9.041188772,8.9038036,8.869727622,8.658879886,9.606882251,9.277008993,9.401401578,9.453599825,9.317949375,9.120650781,9.612957421,9.39492558,9.068304543,8.976629712,9.321948317,9.474070084,9.30544537,9.485826397,9.125423813
YBX1,16.04300035,15.79865449,16.15599183,16.16075711,16.06355863,15.97384666,13.07743073,13.19452881,13.25894601,16.08101368,15.91758648,16.14426945,16.14681219,16.38080754,15.9186915,16.14700688,16.13853807,15.94829974,15.8696168,16.06399151,16.14888344,16.11846511,16.07622574,15.88554037
PPP2R5A,11.27205161,11.3281834,11.13680768,11.2695915,11.45538589,11.39386573,11.4926972,11.41786935,11.46520505,11.53102792,11.48668835,11.36810685,11.45883765,11.02354498,11.52080156,11.51621846,11.40609272,11.46758325,11.48101855,11.3742826,11.49834635,11.34812961,11.36036144,11.38286999
KDM4A,10.43967644,10.92474163,10.76760019,10.73519732,10.41900436,10.92153987,10.13227775,10.06263918,10.05540223,10.34958653,10.85077055,10.74221836,10.34716077,10.90513745,10.89281151,10.2980358,10.84561597,10.88329263,10.88990636,10.79257078,10.34719262,10.84553918,10.38212037,10.89925853
NFYC,11.24910764,11.1531815,11.31416637,11.31666389,11.11299854,11.12261686,10.59193928,10.56463312,10.64823809,11.17469911,11.02458991,11.22860564,11.23385868,11.52809824,11.15916277,11.29807612,11.27090501,11.17315164,11.03771688,11.26004497,11.27301494,11.25251702,11.20746309,11.15191871
CD84,9.606255791,10.07397441,9.710585396,9.650853083,9.567842148,9.216251991,11.30848436,11.05524914,11.2796083,9.294112575,9.552474853,9.10308362,10.10004769,10.37893955,9.75853848,10.0673428,10.3305399,9.742669085,9.955054448,10.1296983,10.11826485,9.724330409,9.782824958,9.556644623
ELOVL1,11.2812357,11.00304682,11.27965317,11.20822803,11.24607601,11.06656919,10.05576103,9.962296189,10.22111644,11.2265697,11.002708,11.1826759,11.40822753,11.35333748,11.07861372,11.31838367,11.07091071,11.0636743,11.00348141,11.05471852,11.36399344,11.20736036,11.22931847,11.09783403
LRRC40,10.61996752,10.38062861,10.63794481,10.34600561,10.71890384,10.23807457,9.152680793,9.175564543,8.967571324,10.75480353,10.47642241,10.34966811,10.43277645,9.725535489,10.29075432,10.68682668,10.46695061,10.22183186,10.40076411,10.63623803,10.65100349,10.50447607,10.71079211,10.31145554
EVI5,10.68654057,10.07764374,10.75161452,10.76718062,11.15339416,10.47672493,6.224312892,6.171123163,6.079387213,11.30350462,11.06110124,11.13137226,10.8461524,10.30098149,10.49169201,11.0681171,10.81049954,10.45036645,10.35823296,10.976416,10.85391032,11.11314814,11.2850911,10.7192359
DNTTIP2,13.20934049,12.72395868,13.30163923,13.25814073,13.16619266,12.7511235,11.10307964,10.93790389,10.98613646,13.19596295,12.84047573,13.23558772,13.16939883,13.02177752,12.78933639,13.07540241,13.24681697,12.69484998,12.81113079,13.26819902,13.07424277,13.3501993,13.14716938,12.66082963
RRP15,12.34032994,11.97560291,12.40170284,12.20889254,12.39317689,11.95981921,9.502562534,9.650102392,9.627283561,12.35554017,12.07278783,12.18903443,12.13457023,11.99442387,11.98452881,12.28095246,12.24051395,11.80925306,11.93927292,12.35039199,12.19171019,12.36483218,12.40672988,11.95490013
PRKCZ,8.701048555,8.582725212,8.610742577,8.80788177,8.733703413,8.77952435,9.158790875,8.819242141,9.044494706,8.793927721,8.662167579,8.790017011,9.011918471,8.99091821,8.805113227,8.887814316,8.653407137,8.769524582,8.662397408,8.841591575,8.936617964,8.742854505,8.725714725,8.703902909
IARS2,12.1538001,11.89834735,11.93678736,12.17665128,12.35180466,12.09123339,11.59312343,11.53303378,11.60180826,12.23046308,12.09587599,12.05235207,12.32162575,11.93979319,12.07964394,12.2721458,12.12234807,12.10034417,12.11342447,12.1906404,12.32138672,12.13420525,12.30498846,12.0210668
NUP133,11.88173574,11.6876091,11.85236261,12.02523412,11.96214879,11.73581864,10.9853938,11.0228969,11.00616937,12.07283212,11.86001302,12.00844226,12.01202549,11.8625472,11.78681581,11.99814994,11.97291018,11.73012987,11.78145645,12.05833573,11.97791834,12.00294336,11.96430037,11.72947829
NUCKS1,13.11625916,13.1239659,13.06407885,13.11339263,13.23943797,13.2228745,12.48828602,12.53324529,12.53500285,13.12424543,13.23426931,13.01849708,13.02143504,12.67502126,13.26114572,13.13247305,13.12388488,13.1636375,13.24492066,13.19549671,13.08006244,13.15136758,13.15212553,13.1177063
KCNAB2,13.12588721,12.87208292,12.90816927,12.98506652,13.11749898,13.00246672,13.3651194,13.13609022,13.33865733,13.34372477,13.14920731,13.24007953,13.35906713,13.35998377,12.95120862,13.25900375,13.1312222,13.07104396,12.92602857,12.9688288,13.24419874,12.99915188,13.14250747,13.05691834
TGFBR3,8.27304629,8.929887733,7.905727356,8.2585065,8.201073366,9.044508658,11.0454364,10.65184415,10.50353703,10.3079349,10.07533279,9.761108485,8.620522147,8.421998753,9.255823457,8.767644795,8.341054574,9.211223401,9.36089218,8.366632562,8.458413995,8.308183423,8.447947045,9.373850399
TESK2,7.991678664,8.587880387,8.065986335,7.706603887,7.313915039,7.930928572,8.758482244,8.752648215,8.800206043,7.206175378,7.662145159,7.086036391,7.371959214,7.683376263,8.183318272,7.200021752,7.451904672,8.212606514,8.075795924,7.163736816,7.191732763,7.447602248,7.008215903,7.652530602
EIF2B3,11.4119193,10.88131338,11.33577206,11.2969759,11.32895615,11.00229268,8.260504441,8.24654198,8.334860573,11.21403808,11.00032238,11.19753311,11.37976481,11.38668398,10.9761459,11.28249903,11.22363578,10.88960451,10.92070482,11.25309792,11.31037079,11.30439857,11.33661243,10.89479786
CDC42,13.46977877,13.1909253,13.43890564,13.70059463,13.76608024,13.47850093,12.49655149,12.38983564,12.64450084,13.44472168,13.22242036,13.41354622,13.50956173,13.25960343,13.38279391,13.50622058,13.48974402,13.29396815,13.39145079,13.59324563,13.58489267,13.51721094,13.50987896,13.18829951
ENO1,17.16400095,16.97865782,17.26120099,17.30048438,17.12679712,17.12423726,13.20482118,12.95834964,13.27362016,17.11406759,17.01373243,17.26550397,17.20628213,17.46704904,17.02962956,17.1781937,17.21624669,17.06700066,16.97331668,17.14348771,17.19940481,17.22279625,17.11976699,17.03107969
EIF4G3,12.13514995,12.03342728,12.31298577,12.23880054,12.15621431,12.01923921,9.912445166,10.00508252,9.875431863,12.17038072,11.99853315,12.26005025,12.15469528,12.33665935,11.90866317,12.13280924,12.274045,11.98201689,11.98667866,12.26663637,12.08877085,12.32882331,12.24710214,12.00252888
KIFAP3,9.124933953,9.674378882,8.939033964,9.131797491,9.446927819,9.619419725,9.281464701,9.409685891,9.331640524,9.227093111,9.579894395,9.033025406,9.442254143,8.929280809,9.764699468,9.382215801,9.237639565,9.778822328,9.664035179,9.175883479,9.264469778,9.264535923,9.405089927,9.609867923
FMO4,5.726127658,6.298618478,5.856876204,6.065350187,5.920106714,6.009074657,7.434621593,7.424559324,7.272374166,5.832798882,6.136256635,5.79862961,5.871465369,5.822720807,6.053491998,5.99434065,5.566588835,6.127862939,6.24706939,6.032259744,5.868919476,5.76217832,5.796099373,6.135782086
KLHL20,9.777903867,9.599785592,9.708378607,9.708465871,9.734491149,9.536965646,9.979567459,9.866101192,9.785564014,9.641609538,9.568667037,9.506556047,9.425066547,9.373003253,9.461350753,9.568434702,9.65004355,9.546919725,9.597126045,9.706943786,9.519674533,9.606507858,9.758657403,9.614215824
UBE2T,9.411392317,8.530134226,9.008840031,9.276386997,9.553495857,8.718480988,6.783904746,7.010096677,6.832193758,9.282156512,8.811151659,9.100451051,9.562403744,9.078701446,8.696510894,9.524614359,9.012466396,8.618110447,8.586030139,9.235661615,9.238864912,9.205240949,9.450052998,8.584895518
PPP1R12B,8.986464252,9.116249746,8.869633036,8.859658229,9.026385005,8.987004543,10.65813455,10.4049122,10.36354366,9.087509817,9.189668327,9.11356612,9.086692383,8.978292444,9.028928383,9.022939387,9.012466396,8.931231915,9.206217673,8.938043022,9.002345594,9.069327363,9.096054935,9.313634341
USP33,11.28177412,11.50958409,11.20178496,10.88291249,11.0745823,11.10841126,11.89865095,11.89337565,11.69525986,11.24259693,11.27010666,11.07482787,11.13866227,10.50135843,11.26780305,11.11178564,11.10194693,11.25487524,11.3370014,11.12372526,11.14101027,10.95693731,11.05506009,11.09394772
CAPZB,12.4050223,12.26104958,12.4387813,12.56438444,12.53158408,12.54565159,12.19294279,12.33339267,12.44099721,12.60927368,12.50636796,12.54200339,12.72539972,12.86291939,12.60762208,12.67188544,12.59733631,12.63459045,12.59258834,12.55998694,12.71692656,12.48989208,12.55956338,12.55483621
